Reaction ID,Reaction name,kegg.reaction,biocyc,kegg.pathway,kegg.subsystem,biocyc.subsystem1,biocyc.subsystem2,subsystem,curated pathway,curated subsystem
3OARi70,3-oxoacyl-[acyl-carrier-protein] reductase (iso-C7:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OARi80,3-oxoacyl-[acyl-carrier-protein] reductase (iso-C8:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OARi90,3-oxoacyl-[acyl-carrier-protein] reductase (iso-C9:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OAS100,3-oxoacyl-[acyl-carrier-protein] synthase (n-C10:0),R04960,META:RXN-9527,Fatty acid biosynthesis,Lipid metabolism,Palmitate-Biosynthesis,Fatty-acid-biosynthesis,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OAS110,3-oxoacyl-[acyl-carrier-protein] synthase (n-C11:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OAS120,3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:0),R04963,META:RXN-9531,Fatty acid biosynthesis,Lipid metabolism,Palmitate-Biosynthesis,Fatty-acid-biosynthesis,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OAS121,3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:1),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OAS130,3-oxoacyl-[acyl-carrier-protein] synthase (n-C13:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OAS140,3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:0),R04726,META:RXN-9535,Fatty acid biosynthesis,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OAS141,3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:1),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OAS150,3-oxoacyl-[acyl-carrier-protein] synthase (n-C15:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OAS160,3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:0),R04968,META:RXN-9539,Fatty acid biosynthesis,Lipid metabolism,Palmitate-Biosynthesis,Fatty-acid-biosynthesis,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OAS161,3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:1),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OAS170,3-oxoacyl-[acyl-carrier-protein] synthase (n-C17:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OAS180,3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:0),R07762,,"Fatty acid biosynthesis, Biosynthesis of unsaturated fatty acids",Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OAS181,3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:1),,META:2.3.1.179-RXN,,Lipid metabolism,Unsaturated-Fatty-Acids-Biosynthesis,Fatty-acid-biosynthesis,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OAS50,3-oxoacyl-[acyl-carrier-protein] synthase (n-C5:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OAS60,3-oxoacyl-[acyl-carrier-protein] synthase (n-C6:0),R04952,META:RXN-9516,Fatty acid biosynthesis,Lipid metabolism,"Palmitate-Biosynthesis, Fatty-acid-biosynthesis","Fatty-acid-biosynthesis, Lipid-Biosynthesis",Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OAS70,3-oxoacyl-[acyl-carrier-protein] synthase (n-C7:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OAS80,3-oxoacyl-[acyl-carrier-protein] synthase (n-C8:0),R04957,META:RXN-9523,Fatty acid biosynthesis,Lipid metabolism,Palmitate-Biosynthesis,Fatty-acid-biosynthesis,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OAS90,3-oxoacyl-[acyl-carrier-protein] synthase (n-C9:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OASai110,3-oxoacyl-[acyl-carrier-protein] synthase (ante-iso-C11:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OASai130,3-oxoacyl-[acyl-carrier-protein] synthase (ante-iso-C13:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OASai150,3-oxoacyl-[acyl-carrier-protein] synthase (ante-iso-C15:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OASai170,3-oxoacyl-[acyl-carrier-protein] synthase (ante-iso-C17:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OASai70,3-oxoacyl-[acyl-carrier-protein] synthase (ante-iso-C7:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OASai90,3-oxoacyl-[acyl-carrier-protein] synthase (ante-iso-C9:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OASi100,3-oxoacyl-[acyl-carrier-protein] synthase (iso-C10:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OASi110,3-oxoacyl-[acyl-carrier-protein] synthase (iso-C11:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OASi120,3-oxoacyl-[acyl-carrier-protein] synthase (iso-C12:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OASi130,3-oxoacyl-[acyl-carrier-protein] synthase (iso-C13:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OASi140,3-oxoacyl-[acyl-carrier-protein] synthase (iso-C14:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OASi150,3-oxoacyl-[acyl-carrier-protein] synthase (iso-C15:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OASi160,3-oxoacyl-[acyl-carrier-protein] synthase (iso-C16:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OASi170,3-oxoacyl-[acyl-carrier-protein] synthase (iso-C17:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OASi180,3-oxoacyl-[acyl-carrier-protein] synthase (iso-C18:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OASi60,3-oxoacyl-[acyl-carrier-protein] synthase (iso-C6:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OASi70,3-oxoacyl-[acyl-carrier-protein] synthase (iso-C7:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OASi80,3-oxoacyl-[acyl-carrier-protein] synthase (iso-C8:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OASi90,3-oxoacyl-[acyl-carrier-protein] synthase (iso-C9:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OCHOCDH,3-oxocholest-4-en-26-oyl-CoA dehydrogenase ,,RXN-12703,,,,,,Steroid degradation,Xenobiotics biodegradation and metabolism
3OXCOADH,3-oxochol-4-en-24-oyl-CoA dehydrogenase ,,RXN-12707,,,"Cholesterol-Degradation, Steroids-Degradation","Steroids-Degradation, Fatty-Acid-and-Lipid-Degradation",,Steroid degradation,Xenobiotics biodegradation and metabolism
3OXCOAT,3-oxoadipyl-CoA thiolase,R00829,RXN-3641,"Benzoate degradation, Phenylalanine metabolism","Xenobiotics biodegradation and metabolism, Amino acid metabolism",,,Alternate Carbon metabolism,Benzoate degradation,Xenobiotics biodegradation and metabolism
3OXOR,malonate-semialdehyde dehydrogenase,R01604,,beta-Alanine metabolism,Metabolism of other amino acids,,,Alanine and Aspartate metabolism,beta-Alanine metabolism,Metabolism of other amino acids
3T3LPROD,trans-3-hydroxy-L-proline dehydratase,R04374,TRANS-L-3-HYDROXYPROLINE-DEHYDRATASE-RXN,Arginine and proline metabolism,Amino acid metabolism,,,,Arginine and proline metabolism,Amino acid metabolism
44DPCDH,"4,4'-diapolycopenedial dehydrogenase ",R11914,RXN-12225,,,C30-Carotenoids-Biosynthesis,CAROTENOID-SYN,,Carotenoid biosynthesis,Metabolism of terpenoids and polyketides
45DOPA,"4,5-DOPA dioxygenase extradiol;4,5-DOPA-dioxygenase","['R02075', 'R08836']",RXN-8460,,,,,,Betalain biosynthesis,Biosynthesis of other secondary metabolites
45SDOPs,"4,5-seco-dopa dehydratase (spontaneous)",R08837,RXN-8461,Betalain biosynthesis,Biosynthesis of other secondary metabolites,BETALAIN-ALKALOIDS,ALKALOIDS-SYN,,Betalain biosynthesis,Biosynthesis of other secondary metabolites
4C4HX2OA,4-carboxy-4-hydroxy-2-oxoadipate aldolase;4-oxalocitramalate aldolase,R00350,RXN-2464,Benzoate degradation,Xenobiotics biodegradation and metabolism,,,,Benzoate degradation,Xenobiotics biodegradation and metabolism
4CMCOAS,4-coumarate coenzyme A ligase;4-coumarate:CoA ligase;4-coumaroyl-CoA synthetase;4-coumarate-CoA ligase;4-coumarate--CoA ligase,R01616,4-COUMARATE--COA-LIGASE-RXN,"Phenylpropanoid biosynthesis, Phenylalanine metabolism, Ubiquinone and other terpenoid-quinone biosynthesis","Biosynthesis of other secondary metabolites, Metabolism of cofactors and vitamins, Amino acid metabolism","PRENYLFLAVONOID-SYN, COUMARIN-SYN, AROMATIC-COMPOUNDS-BIOSYN, 4-Hydroxybenzoate-Biosynthesis, FLAVONOID-SYN, SECONDARY-METABOLITE-BIOSYNTHESIS, PHENYLPROPANOID-DERIVATIVE-DEG, LIGNIN-SYN","Biosynthesis, FLAVONOID-SYN, Phenolic-Compounds-Degradation, AROMATIC-COMPOUNDS-BIOSYN, PHENYLPROPANOID-SYN",,Ubiquinone and other terpenoid-quinone biosynthesis,Biosynthesis of other secondary metabolites
4COXADH,4-carboxybenzyl alcohol dehydrogenase,,COLCYD-RXN,,,,,,Aromatic compound degradation,Xenobiotics biodegradation and metabolism
4HBHYOX,p-hydroxybenzoate hydroxylase;4-hydroxybenzoate hydroxylase,R01298,4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN,Benzoate degradation,Xenobiotics biodegradation and metabolism,"TOLUENE-DEG, Chlorobenzoate-Degradation, AROMATIC-COMPOUNDS-DEGRADATION, Phenolic-Compounds-Degradation","AROMATIC-COMPOUNDS-DEGRADATION, Chloroaromatic-Compounds-Degradation, Degradation",,Benzoate degradation,Xenobiotics biodegradation and metabolism
4HDAPMO,4-hydroxyacetophenone monooxygenase,R06892,1.14.13.84-RXN,Bisphenol degradation,Xenobiotics biodegradation and metabolism,,,,Bisphenol degradation,Xenobiotics biodegradation and metabolism
4HGLSD,L-4-hydroxyglutamate semialdehyde dehydrogenase,R05051,RXN-14472,Arginine and proline metabolism,Amino acid metabolism,Hydroxyprolines-Degradation,MISCELLANEOUS-DEG,Arginine and Proline metabolism,Arginine and proline metabolism,Amino acid metabolism
4HPROOR,cis-4-Hydroxy-D-proline:oxygen oxidoreductase (deaminating),R04221,R04221,rn00330,,,,,Arginine and proline metabolism,Amino acid metabolism
4HTHRS,4-Hydroxy-L-threonine synthase,R05086,RXN-14125,Vitamin B6 metabolism,Metabolism of cofactors and vitamins,,,Cofactor and Prosthetic Group Biosynthesis,Vitamin B6 metabolism,Metabolism of cofactors and vitamins
4HXBOPT,2-phospho-3-sulfolactate phosphohydrolase,R05789,R229-RXN,Methane metabolism,Energy metabolism,,,,Methane metabolism,Energy metabolism
4HXPUHBT,4-hydroxyphenylpyruvate:5-amino-6-(D-ribitylamino)uracil 4-hydroxybenzyltransferase,R09396,,Methane metabolism,Energy metabolism,,,Cofactor and Prosthetic Group Biosynthesis ,Methane metabolism,Energy metabolism
4HYBUT,4-hydroxybutyrate:CoA ligase (ADP-forming),,RXN-18387,,,,,,Butanoate metabolism,Carbohydrate metabolism
4HYDPRO,cis-4-hydroxy-D-proline dehydrogenase;D-hydroxyproline dehydrogenase ,R11428,RXN-8003,Arginine and proline metabolism,Amino acid metabolism,Hydroxyprolines-Degradation,MISCELLANEOUS-DEG,,Arginine and proline metabolism,Amino acid metabolism
4IP7MO2H__R,"(4R,7R)-4-isopropenyl-7-methyloxepan-2-one hydrolase",R06390,RXN-9394,Limonene and pinene degradation,Metabolism of terpenoids and polyketides,,,,Limonene and pinene degradation,Metabolism of terpenoids and polyketides
4IP7MO2H__S,"(4S,7R)-4-isopropenyl-7-methyloxepan-2-one hydrolase",R06392,RXN-9421,Limonene and pinene degradation,Metabolism of terpenoids and polyketides,Carveol-Degradation,TERPENOID-DEG,,Limonene and pinene degradation,Metabolism of terpenoids and polyketides
4IZPHYDs,4-Imidazolone-5-propanoate hydratase (spontaneous),R04282,RXN-7587,Histidine metabolism,Amino acid metabolism,,,,Histidine metabolism,Amino acid metabolism
4MBZALDH,4-methylbenzyl alcohol dehydrogenase,R05282,RXN-8581,Xylene degradation,Xenobiotics biodegradation and metabolism,Xylene-Degradation,AROMATIC-COMPOUNDS-DEGRADATION,,Xylene degradation,Xenobiotics biodegradation and metabolism
4MBZDH,4-tolualdehyde dehydrogenase,,RXN-8582,,,,,,Xylene degradation,Xenobiotics biodegradation and metabolism
4NIPHOM,4-nitrophenol 2-monooxygenase,R03023,4-NITROPHENOL-2-MONOOXYGENASE-RXN,Aminobenzoate degradation,Xenobiotics biodegradation and metabolism,p-Nitrophenol-Degradation,Nitrophenol-Degradation,,Aminobenzoate degradation,Xenobiotics biodegradation and metabolism
4NITROB,4-nitrobenzoate reductase ,,R364-RXN,,,,,,Xylene degradation,Xenobiotics biodegradation and metabolism
4OT,2-hydroxymuconate tautomerase;4-oxalocrotonate tautomerase,R03966,RXN-8529,"Benzoate degradation, Dioxin degradation",Xenobiotics biodegradation and metabolism,"3-Chlorocatechol-Degradation, AROMATIC-COMPOUNDS-DEGRADATION, Catechol-Degradation, Protocatechuate-Degradation","AROMATIC-COMPOUNDS-DEGRADATION, Chlorocatechol-Degradation, Degradation",,Benzoate degradation,Xenobiotics biodegradation and metabolism
4PCP,"tetrapeptide L,D-carboxypeptidase",,,,Glycan biosynthesis and metabolism,,,Murein Recycling,Murein Recycling,Glycan biosynthesis and metabolism
4SBZADH,4-sulfobenzaldehyde dehydrogenase,R05272,SYDDEHYD-RXN,Toluene degradation,Xenobiotics biodegradation and metabolism,4-Toluenesulfonate-Degradation,Sulfoaromatics-Degradation,,Toluene degradation,Xenobiotics biodegradation and metabolism
4SULFADH,4-sulfobenzyl alcohol dehydrogenase,R05271,SOLDEHYD-RXN,Toluene degradation,Xenobiotics biodegradation and metabolism,,,,Toluene degradation,Xenobiotics biodegradation and metabolism
5CM2HMUCI,5-carboxymethyl-2-hydroxymuconate isomerase,R04379,5.3.3.10-RXN,Tyrosine metabolism,Amino acid metabolism,AROMATIC-COMPOUNDS-DEGRADATION,Degradation,,Tyrosine metabolism,Amino acid metabolism
5DGLCNR,5-dehydro-D-gluconate reductase,R01740,RXN-14367,,Carbohydrate metabolism,,,Alternate Carbon metabolism,Alternate Carbon metabolism,Carbohydrate metabolism
5DOAN,5'-deoxyadenosine nuclosidase,,,,Metabolism of cofactors and vitamins,,,Cofactor and Prosthetic Group Biosynthesis,,Metabolism of cofactors and vitamins
5METDA,5-methylthioadenosine deaminase;S-methyl-5'-thioadenosine deaminase,,RXN-10035,,,,,,Cysteine and methionine metabolism,Amino acid metabolism
5OP3TCCL,"5-oxopent-3-ene-1,2,5-tricarboxylate carboxy-lyase",R04380,CARBOXY-OXOHEPT-ENEDIOATE-DECARBOXY-RXN,Tyrosine metabolism,Amino acid metabolism,,,,Tyrosine metabolism,Amino acid metabolism
6ADOFUT,6-aminodeoxyfutalosine deaminase,,RXN-14910,,,,,,Ubiquinone and other terpenoid-quinone biosynthesis,Metabolism of cofactors and vitamins
6HEXHYD,6-hexanolide hydrolase,R03751,6-HEXANOLIDE-HYDROLYSIS-RXN,Caprolactam degradation,Xenobiotics biodegradation and metabolism,Alcohol-Degradation,Degradation,,Caprolactam degradation,Xenobiotics biodegradation and metabolism
6PHBG,6-phospho-beta-glucosidase,,,,Carbohydrate metabolism,,,Alternate Carbon metabolism,Alternate Carbon metabolism,Carbohydrate metabolism
AAAHYD,Acylamide aminohydrolase,R05590,R05590,"rn00627, rn01120",,,,,Aminobenzoate degradation,Xenobiotics biodegradation and metabolism
AACOATi,Acetoacetyl-CoA:acetate CoA-transferase,R01357,ACETOACETATE--COA-LIGASE-RXN,"Butanoate metabolism, Valine, leucine and isoleucine degradation","Carbohydrate metabolism, Amino acid metabolism",,,Butanoate metabolism,Butanoate metabolism,Carbohydrate metabolism
AAMYLe,alpha-amylase,,,,Carbohydrate metabolism,,,Alternate Carbon metabolism,Alternate Carbon metabolism,Carbohydrate metabolism
AATA,alpha-aminoadipate aminotransferase;L-2-aminoadipate aminotransferase;2-aminoadipate-2-oxoglutarate aminotransferase,R01939,2-AMINOADIPATE-AMINOTRANSFERASE-RXN,"Lysine biosynthesis, Lysine degradation",Amino acid metabolism,,,,Lysine degradation,Amino acid metabolism
AATC,L-cysteate aminotransferase,R02433,RXN-11737,Cysteine and methionine metabolism,Amino acid metabolism,"Coenzyme-M-Biosynthesis, Sulfolactate-Degradation, Sulfur-Metabolism","Cofactor-Biosynthesis, Noncarbon-Nutrients, Sulfur-Metabolism",,Cysteine and methionine metabolism,Amino acid metabolism
ABPYRATA,4-aminobutyrate aminotransferase,R10178,,"Butanoate metabolism; Alanine, aspartate and glutamate metabolism","Carbohydrate metabolism, Amino acid metabolism",,,Glutamate metabolism,"Alanine, aspartate and glutamate metabolism",Amino acid metabolism
ABT2DG,L-arabinitol 2-dehydrogenase,R02441,,Pentose and glucuronate interconversions,Carbohydrate metabolism,,,Pentose and glucuronate interconversions,Pentose and glucuronate interconversions,Carbohydrate metabolism
ABTA,4-aminobutyrate transaminase,R01648,GABATRANSAM-RXN,"Butanoate metabolism, Alanine, aspartate and glutamate metabolism","Carbohydrate metabolism, Amino acid metabolism",,,Arginine and Proline metabolism,"Alanine, aspartate and glutamate metabolism",Amino acid metabolism
ABTD,L-arabinitol 4-dehydrogenase,R01903,L-ARABINITOL-4-DEHYDROGENASE-RXN,Pentose and glucuronate interconversions,Carbohydrate metabolism,L-Arabinose-Degradation,Sugars-And-Polysaccharides-Degradation,Pentose and glucuronate interconversions,Pentose and glucuronate interconversions,Carbohydrate metabolism
ABTDG,D-arabinitol 4-dehydrogenase (NAD),R05604,D-ARABINITOL-4-DEHYDROGENASE-RXN,Pentose and glucuronate interconversions,Carbohydrate metabolism,,,Alternate Carbon metabolism,Pentose and glucuronate interconversions,Carbohydrate metabolism
ABUTD,Aminobutyraldehyde dehydrogenase,R02549,AMINOBUTDEHYDROG-RXN,"Arginine and proline metabolism, beta-Alanine metabolism","Metabolism of other amino acids, Amino acid metabolism",Putrescine-Degradation,AMINE-DEG,Arginine and Proline metabolism,Arginine and proline metabolism,Amino acid metabolism
AC1MO,acetone 1-monooxygenase,,RXN-17569,,,,,,Alternate Carbon metabolism,Carbohydrate metabolism
ACACT1r,acetyl-CoA C-acetyltransferase,R00238,ACETYL-COA-ACETYLTRANSFER-RXN,"Terpenoid backbone biosynthesis, Glyoxylate and dicarboxylate metabolism, Propanoate metabolism, Valine, leucine and isoleucine degradation, Butanoate metabolism, Synthesis and degradation of ketone bodies, Tryptophan metabolism, Benzoate degradation, Carbon fixation pathways in prokaryotes, Pyruvate metabolism, Fatty acid degradation, Lysine degradation","Carbohydrate metabolism, Xenobiotics biodegradation and metabolism, Metabolism of terpenoids and polyketides, Lipid metabolism, Amino acid metabolism","Storage-Compounds-Biosynthesis, Autotrophic-CO2-Fixation, Alcohol-Biosynthesis, Carbohydrates-Degradation, Mevalonate-Pathways, Fatty-Acid-and-Lipid-Degradation, OTHER-ENERGY, CARBOXYLATES-DEG, Pyruvate-Degradation, ISOPRENOIDS, Acetate-Formation, Energy-Metabolism, Acetyl-CoA-Butyrate, Fermentation, Alkene-Degradation","Isopentenyl-Diphosphate-Biosynthesis, CO2-Fixation, Degradation, Biosynthesis, CARBOXYLATES-DEG, Pathways, Fermentation-to-Acids, Terpenoid-Biosynthesis, Energy-Metabolism, Fermentation, Carbohydrates-Degradation",Membrane Lipid metabolism,Fatty acid biosynthesis,Lipid metabolism
ACACT2r,acetyl-CoA C-acyltransferase (butanoyl-CoA) (r),R01177,RXN-12565,"Fatty acid elongation, Fatty acid degradation",Lipid metabolism,,,Membrane Lipid metabolism,Fatty acid biosynthesis,Lipid metabolism
ACACT3r,acetyl-CoA C-acyltransferase (hexanoyl-CoA) (r),R04747,META:RXN-14277,"Fatty acid elongation, Fatty acid degradation",Lipid metabolism,,,Membrane Lipid metabolism,Fatty acid biosynthesis,Lipid metabolism
ACACT4r,acetyl-CoA C-acyltransferase (octanoyl-CoA) (r),R03778,RXN-13617,"Fatty acid elongation, Fatty acid degradation",Lipid metabolism,,,Membrane Lipid metabolism,Fatty acid biosynthesis,Lipid metabolism
ACACT5r,acetyl-CoA C-acyltransferase (decanoyl-CoA) (r),R04742,RXN-14274,"Fatty acid elongation, Fatty acid degradation",Lipid metabolism,,,Membrane Lipid metabolism,Fatty acid biosynthesis,Lipid metabolism
ACACT6r,acetyl-CoA C-acyltransferase (dodecanoyl-CoA) (r),R03858,RXN-14268,"Fatty acid elongation, Fatty acid degradation",Lipid metabolism,,,Membrane Lipid metabolism,Fatty acid biosynthesis,Lipid metabolism
ACACT7r,acetyl-CoA C-acyltransferase (tetradecanoyl-CoA) (r),R03991,RXN-16560,"Fatty acid elongation, Fatty acid degradation",Lipid metabolism,,,Membrane Lipid metabolism,Fatty acid biosynthesis,Lipid metabolism
ACACT8r,acetyl-CoA acyltransferase (hexadecanoyl-CoA) (r),,,,Lipid metabolism,,,Membrane Lipid metabolism,Fatty acid biosynthesis,Lipid metabolism
ACBIPGT,Adenosyl cobinamide phosphate guanyltransferase,R05222,COBINPGUANYLYLTRANS-RXN,Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins,"B12-Salvage-From-Cobinamide, Adenosylcobamide-Biosynthesis","Cobamide-De-Novo-Biosynthesis, Cobamide-Salvage",Cofactor and Prosthetic Group Biosynthesis,Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins
